image_filename,prompt,seed,step,cfg,sampler,width,height,user_name,timestamp,image_nsfw,prompt_nsfw,keywords
image_0.png,what or who markiplier would smash. ,673825685,50,7.0,k_lms,512,512,d4bf18cfa2452e1e3bc459ffb9f74fdae74c089441418ef31b438f13f49e7fe2,2022-08-18 14:34:00+00:00,0.6755027174949646,0.056152474135160446,"markiplier, smash"
image_1.png,"island town, the stars shine in the starry sky, bright moon, waves, sparkling sea, clouds and fog, whimsical, detailed, volumetric lights, intricate details, raytracing, great complexity, cinematic, film, 8 k, octane render by ivan aivazovsky and noah bradley ",2159226246,50,7.0,k_lms,768,512,9eff99abc733a67b0ad6859e970d6b8306ac54ffcb37131b17dd4b9f698f216b,2022-08-18 14:34:00+00:00,0.060535889118909836,0.0007589484448544681,"sky, island, octane, ivan, whimsical"
image_2.png,"a beautiful 3 d render of a pond, perfect, hazy, volumetric lighting, snowy summits in the background, very detailed, serene, cirrus, cyan accents, gold accents, washed out colors, photorealistic, master level composition, raytracing ",227309326,50,10.0,k_lms,768,512,4d81bc19bc8824a1d84b3cdc33419feb20fe9ff8cf69e2e70cfc3534ae5e2894,2022-08-18 14:35:00+00:00,0.058382973074913025,0.0008281241171061993,"pond, colors, render, raytracing, summits"
image_3.png,"royal side - view portrait of a man wearing a slim crown, buzzcut, stubble, wears a red coat, gothic stained glass window, shiny blue background, very masterful, backlit ",2103092317,50,10.0,k_lms,512,512,460850fbc1bca0e643bc2b3a5926f771e48af6804dd64de1e3a21aae6d633686,2022-08-18 14:35:00+00:00,0.0604059137403965,0.013523177243769169,"portrait, royal, glass, shiny, buzzcut"
image_4.png,"a woman with red hair and glasses sits on top of a tall pile of books, reading. clean cel shaded vector art by lois van baarle, artgerm, helen huang, by makoto shinkai and ilya kuvshinov, rossdraws, illustration, art by ilya kuvshinov ",2895945669,50,7.0,k_lms,512,512,c8bac403c15b4795ecf4ec41b4addf5fb5013fc730229c5c6f9729cef1a38761,2022-08-18 14:35:00+00:00,0.09588092565536499,0.00414431095123291,"books, woman, shaded, artgerm, vector"
image_5.png,"island town, the stars shine in the starry sky, bright moon, waves, sparkling sea, clouds and fog, whimsical, detailed, volumetric lights, intricate details, raytracing, great complexity, cinematic, film, 8 k, octane render by ivan aivazovsky and noah bradley ",3596262647,50,7.0,k_lms,768,512,9eff99abc733a67b0ad6859e970d6b8306ac54ffcb37131b17dd4b9f698f216b,2022-08-18 14:35:00+00:00,0.06439835578203201,0.0007589484448544681,"sky, island, octane, ivan, whimsical"
image_6.png,"a retrowave style artwork of acadia national park, a land of the dead, divine, hazy, volumetric lighting, spacetime bending, very detailed, serene, gold accents, washed out colors, beautiful artwork, master level composition, raytracing ",2309630503,50,10.0,k_lms,896,640,9e940550462245c21e228a9c8590a5100103c7c3c787b35dfe422fded035e466,2022-08-18 14:36:00+00:00,0.052499573677778244,0.001253468100912869,"acadia, artwork, hazy, national, spacetime"
image_7.png,"a beautiful 3 d render of a pond, perfect, hazy, volumetric lighting, snowy summits in the background, very detailed, serene, cirrus, cyan accents, gold accents, washed out colors, photorealistic, master level composition, raytracing ",1693651773,50,10.0,k_lms,1152,704,4d81bc19bc8824a1d84b3cdc33419feb20fe9ff8cf69e2e70cfc3534ae5e2894,2022-08-18 14:37:00+00:00,0.05658880993723869,0.0008281241171061993,"pond, colors, render, raytracing, summits"
image_8.png,"spritesheet game asset vector art, smooth style beeple, by thomas kinkade hearstone league of legends dofus overwatch ",2203785487,50,7.0,k_lms,512,512,89bebf4f200a853ac9a7b4dfec1edb160ade299fd60db12d0752bbfd882c6f45,2022-08-18 14:38:00+00:00,0.09551818668842316,0.00021226913668215275,"spritesheet, art, hearstone, kinkade, vector"
image_9.png,"kitchen made of moss, octane render, trending on artstation, very rough sand on wall, flooring made of hard rock ",3649513721,50,7.0,k_lms,768,512,a1571d40ddfc8410d15599fd8b4bb3d169d2c178f684e9dfbf07b2cacefb8299,2022-08-18 12:11:00+00:00,0.05593637377023697,0.0009433019440621138,"kitchen, moss, octane, render, rough"
